net,length_um
_0201_,10.16µm
_0125_,10.12µm
_0309_,10.12µm
net35,10.12µm
_0501_,10.08µm
_0210_,10.04µm
net31,10.04µm
net27,9.98µm
net32,9.98µm
_0341_,9.94µm
net41,9.94µm
_0402_,9.935µm
_0388_,9.92µm
_0686_,9.92µm
_0085_,9.9µm
_0327_,9.9µm
_0371_,9.9µm
_0650_,9.9µm
rdata[13],9.89µm
_0319_,9.88µm
_0549_,9.88µm
_0264_,9.86µm
net175,9.86µm
rdata[11],9.83µm
_0343_,9.825µm
_0520_,9.82µm
_0279_,9.8µm
_0268_,9.74µm
_0491_,9.74µm
_0640_,9.7µm
_0583_,9.68µm
net49,9.66µm
_0331_,9.64µm
wdata[6],9.64µm
wdata[7],9.64µm
rdata[14],9.63µm
_0148_,9.62µm
_0235_,9.58µm
_0133_,9.52µm
net158,9.52µm
_0278_,9.48µm
rdata[16],9.45µm
rdata[20],9.45µm
_0111_,9.4µm
net179,9.4µm
_0380_,9.36µm
_0286_,9.3µm
_0455_,9.28µm
_0469_,9.28µm
_0297_,9.26µm
_0058_,9.225µm
net1,9.22µm
_0635_,9.2µm
_0296_,9.16µm
_0654_,9.16µm
_0223_,9.15µm
_0204_,9.12µm
_0314_,9.12µm
_0611_,9.06µm
net183,9.06µm
_0263_,9.04µm
_0282_,9µm
_0456_,8.96µm
_0347_,8.94µm
_0653_,8.94µm
net150,8.94µm
net172,8.94µm
_0458_,8.92µm
_0200_,8.9µm
_0158_,8.86µm
_0414_,8.86µm
_0576_,8.82µm
_0181_,8.8µm
_0178_,8.78µm
_0308_,8.74µm
_0165_,8.7µm
_0227_,8.7µm
_0337_,8.62µm
_0602_,8.6µm
net169,8.6µm
_0285_,8.56µm
core_b\[2\],8.56µm
_0493_,8.515µm
core_valid,8.48µm
rdata[12],8.47µm
_0578_,8.44µm
_0615_,8.4µm
net8,8.4µm
_0662_,8.38µm
net23,8.36µm
_0681_,8.24µm
_0203_,8.2µm
_0284_,8.2µm
_0484_,8.14µm
_0192_,8.12µm
_0521_,8.12µm
_0605_,8.12µm
net28,8.04µm
_0295_,8.035µm
_0159_,8.02µm
net130,8.02µm
_0470_,8µm
_0481_,8µm
_0619_,7.98µm
core_a\[5\],7.98µm
_0586_,7.94µm
_0209_,7.92µm
_0217_,7.9µm
_0360_,7.86µm
rdata[21],7.79µm
_0560_,7.78µm
_0131_,7.7µm
_0508_,7.7µm
