Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_365,VGND,li1,176.1800,174.0800,0.000013
FILLER_60_363,VGND,li1,172.7300,174.0800,0.000018
FILLER_60_357,VGND,li1,171.1200,174.0800,0.000018
FILLER_60_345,VGND,li1,166.9800,174.0800,0.000023
FILLER_60_333,VGND,li1,161.4600,174.0800,0.000028
FILLER_60_321,VGND,li1,155.9400,174.0800,0.000034
FILLER_60_309,VGND,li1,150.4200,174.0800,0.000040
FILLER_60_305,VGND,li1,146.5100,174.0800,0.000044
FILLER_60_297,VGND,li1,142.8300,174.0800,0.000049
FILLER_60_289,VGND,li1,140.3000,174.0800,0.000051
FILLER_60_277,VGND,li1,135.7000,174.0800,0.000056
FILLER_60_265,VGND,li1,130.1800,174.0800,0.000061
FILLER_60_253,VGND,li1,124.6600,174.0800,0.000067
FILLER_60_244,VGND,li1,119.6000,174.0800,0.000072
FILLER_60_217,VGND,li1,106.0300,174.0800,0.000083
FILLER_60_209,VGND,li1,103.5000,174.0800,0.000083
FILLER_60_197,VGND,li1,98.9000,174.0800,0.000085
FILLER_60_193,VGND,li1,94.9900,174.0800,0.000086
FILLER_60_185,VGND,li1,92.4600,174.0800,0.000087
FILLER_60_165,VGND,li1,84.1800,174.0800,0.000087
FILLER_60_153,VGND,li1,78.6600,174.0800,0.000086
FILLER_60_141,VGND,li1,73.1400,174.0800,0.000082
FILLER_60_132,VGND,li1,68.0800,174.0800,0.000079
FILLER_60_120,VGND,li1,63.4800,174.0800,0.000075
FILLER_60_108,VGND,li1,57.9600,174.0800,0.000069
FILLER_60_101,VGND,li1,52.2100,174.0800,0.000062
FILLER_60_97,VGND,li1,51.0600,174.0800,0.000062
FILLER_60_85,VGND,li1,47.3800,174.0800,0.000055
FILLER_60_83,VGND,li1,43.9300,174.0800,0.000047
FILLER_60_77,VGND,li1,42.3200,174.0800,0.000047
FILLER_60_65,VGND,li1,38.1800,174.0800,0.000040
FILLER_60_53,VGND,li1,32.6600,174.0800,0.000030
FILLER_60_41,VGND,li1,27.1400,174.0800,0.000021
FILLER_60_29,VGND,li1,21.6200,174.0800,0.000018
FILLER_60_24,VGND,li1,17.4800,174.0800,0.000018
FILLER_60_15,VGND,li1,13.8000,174.0800,0.000018
FILLER_60_3,VGND,li1,9.6600,174.0800,0.000018
FILLER_59_405,VGND,li1,192.2800,174.0800,0.000010
FILLER_59_393,VGND,li1,189.0600,174.0800,0.000010
FILLER_59_391,VGND,li1,185.6100,174.0800,0.000010
FILLER_59_385,VGND,li1,184.0000,174.0800,0.000010
FILLER_59_373,VGND,li1,179.8600,174.0800,0.000010
FILLER_59_361,VGND,li1,174.3400,174.0800,0.000016
FILLER_59_349,VGND,li1,168.8200,174.0800,0.000021
FILLER_59_337,VGND,li1,163.3000,174.0800,0.000026
FILLER_59_334,VGND,li1,159.6200,174.0800,0.000030
FILLER_59_322,VGND,li1,156.4000,174.0800,0.000034
FILLER_59_310,VGND,li1,150.8800,174.0800,0.000040
FILLER_59_298,VGND,li1,145.3600,174.0800,0.000046
FILLER_59_289,VGND,li1,139.1500,174.0800,0.000051
FILLER_59_281,VGND,li1,136.6200,174.0800,0.000054
FILLER_59_272,VGND,li1,132.4800,174.0800,0.000058
FILLER_59_263,VGND,li1,127.8800,174.0800,0.000063
FILLER_59_250,VGND,li1,122.3600,174.0800,0.000070
FILLER_59_242,VGND,li1,117.5300,174.0800,0.000074
FILLER_59_234,VGND,li1,115.0000,174.0800,0.000077
FILLER_59_222,VGND,li1,108.1000,174.0800,0.000082
FILLER_59_214,VGND,li1,105.8000,174.0800,0.000083
FILLER_59_208,VGND,li1,101.4300,174.0800,0.000084
FILLER_59_204,VGND,li1,100.2800,174.0800,0.000085
FILLER_59_192,VGND,li1,96.6000,174.0800,0.000086
FILLER_59_169,VGND,li1,83.7200,174.0800,0.000087
FILLER_59_167,VGND,li1,82.5700,174.0800,0.000087
FILLER_59_145,VGND,li1,72.4500,174.0800,0.000082
FILLER_59_133,VGND,li1,69.4600,174.0800,0.000079
FILLER_59_121,VGND,li1,63.9400,174.0800,0.000075
FILLER_59_93,VGND,li1,48.9900,174.0800,0.000055
FILLER_59_81,VGND,li1,45.5400,174.0800,0.000050
FILLER_59_69,VGND,li1,40.0200,174.0800,0.000043
FILLER_59_57,VGND,li1,34.5000,174.0800,0.000033
FILLER_59_55,VGND,li1,31.0500,174.0800,0.000026
FILLER_59_51,VGND,li1,29.9000,174.0800,0.000026
FILLER_59_39,VGND,li1,26.2200,174.0800,0.000018
FILLER_59_27,VGND,li1,20.7000,174.0800,0.000018
FILLER_59_15,VGND,li1,15.1800,174.0800,0.000018
FILLER_59_3,VGND,li1,9.6600,174.0800,0.000018
FILLER_58_401,VGND,li1,191.3600,168.6400,0.000015
FILLER_58_389,VGND,li1,187.2200,168.6400,0.000015
FILLER_58_377,VGND,li1,181.7000,168.6400,0.000015
FILLER_58_365,VGND,li1,176.1800,168.6400,0.000018
FILLER_58_363,VGND,li1,172.7300,168.6400,0.000026
FILLER_58_357,VGND,li1,171.1200,168.6400,0.000026
FILLER_58_345,VGND,li1,166.9800,168.6400,0.000032
FILLER_58_333,VGND,li1,161.4600,168.6400,0.000040
FILLER_58_321,VGND,li1,155.9400,168.6400,0.000048
FILLER_58_309,VGND,li1,150.4200,168.6400,0.000056
FILLER_58_304,VGND,li1,146.2800,168.6400,0.000063
FILLER_58_281,VGND,li1,135.7000,168.6400,0.000075
FILLER_58_253,VGND,li1,124.6600,168.6400,0.000081
FILLER_58_251,VGND,li1,121.2100,168.6400,0.000083
FILLER_58_245,VGND,li1,119.6000,168.6400,0.000083
FILLER_58_233,VGND,li1,115.4600,168.6400,0.000082
FILLER_58_221,VGND,li1,109.9400,168.6400,0.000080
FILLER_58_193,VGND,li1,94.9900,168.6400,0.000074
FILLER_58_185,VGND,li1,92.4600,168.6400,0.000072
FILLER_58_166,VGND,li1,83.2600,168.6400,0.000063
